symptom,description,severityLevel,precautions,disease
Lower Spine Pain,"Lower Spine Pain can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Deep Joint Throbbing,"People may feel deep joint throbbing due to stress, organ responses, or sudden changes in body function.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Muscle Pull Pain,"Common reasons for muscle pull pain include nerve sensitivity, muscle tension, or internal disturbances.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Bone / Muscle / Joint Issue
Sudden Weakness Waves,"Common reasons for sudden weakness waves include nerve sensitivity, muscle tension, or internal disturbances.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Mind Fog,"Common reasons for mind fog include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Severe Disorientation,"Common reasons for severe disorientation include nerve sensitivity, muscle tension, or internal disturbances.",Severe,Avoid all exertion and call emergency support. Consult a doctor immediately.,General Systemic Issue
Eye Strain,"Common reasons for eye strain include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Ear Buzzing,"Ear Buzzing can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Internal Cold Feeling,"Internal Cold Feeling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Leg Heaviness,"Leg Heaviness may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Arm Heaviness,"Arm Heaviness can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Sinus Swelling,"People may feel sinus swelling due to stress, organ responses, or sudden changes in body function.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Inner Ear Itching,"Common reasons for inner ear itching include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Inner Nose Burning,"Common reasons for inner nose burning include nerve sensitivity, muscle tension, or internal disturbances.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",ENT Issue
Skin Stretching Pain,"Common reasons for skin stretching pain include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Hip Locking,"Common reasons for hip locking include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Muscle Twitching,"Muscle Twitching may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Sudden Chest Pulse,"Sudden Chest Pulse may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Respiratory / Chest Issue
Internal Fluctuation Feeling,"Internal Fluctuation Feeling can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Jaw Pressure,"Jaw Pressure can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Neck Burning,"Neck Burning may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Throat Itching Severe,"Common reasons for throat itching severe include nerve sensitivity, muscle tension, or internal disturbances.",Severe,Seek immediate medical care without delay. Consult a doctor immediately.,Skin Issue
Body Heat Waves,"People may feel body heat waves due to stress, organ responses, or sudden changes in body function.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Body Shaking Mild,"Common reasons for body shaking mild include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Chest Flutter,"Chest Flutter may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",Respiratory / Chest Issue
Abdominal Vibration,"Common reasons for abdominal vibration include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Gastrointestinal Issue
Internal Vibration,"People may feel internal vibration due to stress, organ responses, or sudden changes in body function.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Fatigue Waves,"Fatigue Waves may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Energy Drop,"People may feel energy drop due to stress, organ responses, or sudden changes in body function.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Chest Numbness,"People may feel chest numbness due to stress, organ responses, or sudden changes in body function.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Neurological Issue
Face Heat,"People may feel face heat due to stress, organ responses, or sudden changes in body function.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Face Cold,"Face Cold may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Sudden Face Redness,"Sudden Face Redness may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Knee Locking,"Knee Locking may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Foot Nerve Twinge,"Foot Nerve Twinge can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Palm Burning,"Common reasons for palm burning include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Palm Itching,"Palm Itching can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",Skin Issue
Ear Warmth,"Ear Warmth can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Ear Coldness,"Ear Coldness may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,ENT Issue
Scalp Tingling,"Common reasons for scalp tingling include nerve sensitivity, muscle tension, or internal disturbances.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Neurological Issue
Scalp Itching Severe,"Common reasons for scalp itching severe include nerve sensitivity, muscle tension, or internal disturbances.",Severe,Seek immediate medical care without delay. Consult a doctor immediately.,Skin Issue
Deep Eye Pressure,"Deep Eye Pressure can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Upper Back Pulse,"Upper Back Pulse can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Lower Back Pulse,"People may feel lower back pulse due to stress, organ responses, or sudden changes in body function.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Abdominal Pulse,"Abdominal Pulse can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Gastrointestinal Issue
Chest Pulse,"People may feel chest pulse due to stress, organ responses, or sudden changes in body function.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Respiratory / Chest Issue
Body Pulse Awareness,"Body Pulse Awareness may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Rapid Body Temperature Change,"People may feel rapid body temperature change due to stress, organ responses, or sudden changes in body function.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Internal Pressure,"Internal Pressure may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Deep Internal Ache,"People may feel deep internal ache due to stress, organ responses, or sudden changes in body function.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Throat Pulse,"Throat Pulse may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",ENT Issue
Eye Twitch Severe,"People may feel eye twitch severe due to stress, organ responses, or sudden changes in body function.",Severe,Avoid all exertion and call emergency support. Consult a doctor immediately.,Skin Issue
Leg Pulse Feeling,"Leg Pulse Feeling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Toe Burning,"Common reasons for toe burning include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Chest Stabbing Pain,"Chest Stabbing Pain can appear during infections, climate shifts, or temporary imbalances in the body.",Severe,Avoid all exertion and call emergency support. Consult a doctor immediately.,Respiratory / Chest Issue
Back Stabbing Pain,"Common reasons for back stabbing pain include nerve sensitivity, muscle tension, or internal disturbances.",Severe,Seek immediate medical care without delay. Consult a doctor immediately.,Bone / Muscle / Joint Issue
Low Spine Tightness,"Low Spine Tightness may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Mid Spine Tightness,"Mid Spine Tightness can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Collarbone Pain,"Collarbone Pain may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Shoulder Blade Pain,"People may feel shoulder blade pain due to stress, organ responses, or sudden changes in body function.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Bone / Muscle / Joint Issue
Deep Shoulder Pressure,"Deep Shoulder Pressure may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Ankle Tightness,"Ankle Tightness can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Ankle Nerve Pain,"People may feel ankle nerve pain due to stress, organ responses, or sudden changes in body function.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Heel Vibration,"Heel Vibration can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Foot Pulse,"Foot Pulse can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Hand Pulse Feeling,"Hand Pulse Feeling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Rib Cramps,"Rib Cramps can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Side Cramps,"People may feel side cramps due to stress, organ responses, or sudden changes in body function.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Inner Side Pain,"Common reasons for inner side pain include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Kidney Throbbing,"Common reasons for kidney throbbing include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",Gastrointestinal Issue
Liver Throbbing,"Common reasons for liver throbbing include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Gastrointestinal Issue
Stomach Burning Severe,"Common reasons for stomach burning severe include nerve sensitivity, muscle tension, or internal disturbances.",Severe,Seek immediate medical care without delay. Consult a doctor immediately.,Gastrointestinal Issue
Heart Region Uneasiness,"People may feel heart region uneasiness due to stress, organ responses, or sudden changes in body function.",Severe,Seek immediate medical care without delay. Consult a doctor immediately.,Cardiac Issue
Heart Flutter Sudden,"Heart Flutter Sudden may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Severe,Stay accompanied and avoid self-treatment. Consult a doctor immediately.,Cardiac Issue
Severe Nose Tingling,"People may feel severe nose tingling due to stress, organ responses, or sudden changes in body function.",Severe,Stay accompanied and avoid self-treatment. Consult a doctor immediately.,Neurological Issue
Dry Nasal Passage,"Common reasons for dry nasal passage include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Hot Nasal Passage,"Hot Nasal Passage can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Mouth Drying Fast,"Mouth Drying Fast may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Dental / Oral Issue
Inner Mouth Burning,"Inner Mouth Burning can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Dental / Oral Issue
Tongue Dryness,"Tongue Dryness may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Tongue Tingling,"Tongue Tingling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Neurological Issue
Cheek Pain,"Cheek Pain may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Cheek Numbness,"Cheek Numbness can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Neurological Issue
Jaw Numbness,"People may feel jaw numbness due to stress, organ responses, or sudden changes in body function.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Neurological Issue
Entire Body Heaviness,"Entire Body Heaviness can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Sudden Limb Weakness,"People may feel sudden limb weakness due to stress, organ responses, or sudden changes in body function.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Deep Bone Stiffness,"Common reasons for deep bone stiffness include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Deep Bone Pressure,"Common reasons for deep bone pressure include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Eye Drying Fast,"Eye Drying Fast can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Upper Abdomen Stretching,"Common reasons for upper abdomen stretching include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Lower Abdomen Stretching,"Lower Abdomen Stretching can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Inner Chest Stretching,"People may feel inner chest stretching due to stress, organ responses, or sudden changes in body function.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Respiratory / Chest Issue
Inner Leg Tightness,"People may feel inner leg tightness due to stress, organ responses, or sudden changes in body function.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Inner Arm Tightness,"People may feel inner arm tightness due to stress, organ responses, or sudden changes in body function.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Stomach Rolling Feeling,"Common reasons for stomach rolling feeling include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Gastrointestinal Issue
Sudden Sweating Burst,"Sudden Sweating Burst can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Sudden Cold Burst,"Sudden Cold Burst may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Moist Skin Feeling,"Moist Skin Feeling can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Skin Issue
Dry Skin Feeling,"Dry Skin Feeling can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Skin Issue
Skin Tightening,"Skin Tightening may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Skin Issue
Skin Loosening Feeling,"Skin Loosening Feeling can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",Skin Issue
Rapid Muscle Fatigue,"Common reasons for rapid muscle fatigue include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Delayed Muscle Fatigue,"Common reasons for delayed muscle fatigue include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Muscle Burning Inside,"Common reasons for muscle burning inside include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Inner Muscle Tension,"Inner Muscle Tension may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Lower Neck Pulling,"Lower Neck Pulling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Upper Neck Pulling,"Upper Neck Pulling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
Shoulder Tension Deep,"Common reasons for shoulder tension deep include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Bone / Muscle / Joint Issue
Arm Joint Vibration,"People may feel arm joint vibration due to stress, organ responses, or sudden changes in body function.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Leg Joint Vibration,"Leg Joint Vibration can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Bone / Muscle / Joint Issue
Heart Skip Feeling,"Heart Skip Feeling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Severe,Avoid all exertion and call emergency support. Consult a doctor immediately.,Cardiac Issue
Breathing Skip Feeling,"Breathing Skip Feeling may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",Respiratory / Chest Issue
Inner Chest Heat,"People may feel inner chest heat due to stress, organ responses, or sudden changes in body function.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,Respiratory / Chest Issue
Inner Chest Cold,"Inner Chest Cold may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Respiratory / Chest Issue
Full Body Warmth,"Full Body Warmth can appear during infections, climate shifts, or temporary imbalances in the body.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Full Body Cold,"Full Body Cold may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Sudden Light Sensitivity,"Sudden Light Sensitivity may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Mild,Monitor your condition and stay hydrated. Go to a doctor if it does not reduce in 1-2 days.,General Systemic Issue
Sudden Sound Sensitivity,"Common reasons for sudden sound sensitivity include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Brain Pressure,"Brain Pressure can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Brain Fog Waves,"Common reasons for brain fog waves include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Mental Dullness,"Mental Dullness may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Nerve Shock Feeling,"Common reasons for nerve shock feeling include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Nerve Pulling,"Common reasons for nerve pulling include nerve sensitivity, muscle tension, or internal disturbances.",Mild,Avoid stressful activities and let your body relax. Go to a doctor if it does not reduce in 1-2 days.,Neurological Issue
Nerve Burning,"Common reasons for nerve burning include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",Neurological Issue
Throat Tightening Sudden,"Throat Tightening Sudden may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",ENT Issue
Sudden Air Hunger,"Sudden Air Hunger can appear during infections, climate shifts, or temporary imbalances in the body.",Severe,Avoid all exertion and call emergency support. Consult a doctor immediately.,General Systemic Issue
Shallow Breathing Episodes,"Shallow Breathing Episodes can appear during infections, climate shifts, or temporary imbalances in the body.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",Respiratory / Chest Issue
Heat Triggers,"People may feel heat triggers due to stress, organ responses, or sudden changes in body function.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Cold Triggers,"Common reasons for cold triggers include nerve sensitivity, muscle tension, or internal disturbances.",Moderate,"Reduce physical activity and observe symptom patterns. If symptoms worsen, consult a doctor.",General Systemic Issue
Sharp Organ Pain,"People may feel sharp organ pain due to stress, organ responses, or sudden changes in body function.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Undefined Body Pain,"People may feel undefined body pain due to stress, organ responses, or sudden changes in body function.",Mild,"Rest well, drink enough fluids, and avoid physical strain. Go to a doctor if it does not reduce in 1-2 days.",General Systemic Issue
Localized Pressure,"Localized Pressure may be caused by irritation, inflammation, fatigue, or shifting internal pressure. It often needs closer observation.",Moderate,"Consult a doctor if symptoms remain for long. If symptoms worsen, consult a doctor.",General Systemic Issue
Diffuse Pressure,"People may feel diffuse pressure due to stress, organ responses, or sudden changes in body function.",Moderate,"Stay indoors, rest, and avoid triggers. If symptoms worsen, consult a doctor.",General Systemic Issue
